1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.866666666666666918e-01,9.833583333333333343e-01,9.966666666666667007e-01
9.751388888888888884e-01,9.751388888888888884e-01,9.555055555555556079e-01
9.071999999999998954e-01,9.311555555555556252e-01,9.152083333333332904e-01
8.234388888888888314e-01,7.891333333333333533e-01,7.994777777777777317e-01
6.005805555555554509e-01,4.558000000000000385e-01,5.130666666666666709e-01
4.623750000000000915e-01,3.162499999999999756e-01,2.495305555555555332e-01
2.615777777777777424e-01,1.307999999999999996e-01,8.250000000000000389e-02
1.272000000000000075e-01,2.473333333333333633e-02,1.957499999999999865e-02
3.157777777777777406e-02,9.388888888888889325e-03,7.444444444444444503e-03
8.708333333333333551e-03,3.533333333333333205e-03,5.066666666666667235e-03
2.877777777777778146e-03,3.822222222222222514e-03,4.722222222222221405e-03
